"","AGE","EDU","GENDER","SEXUAL_ORIENTATION","RELATIONSHIP","SOI_1","SOI_2","SOI_3","SOI_4","SOI_5","SOI_6","SOI_7","SOI_8","SOI_9"
"346","32",4,"M","0",0,2,2,4,7,8,3,7,7,7
"347","22",2,"F","0",0,2,2,8,9,9,2,2,4,2
"348","20",2,"M","0",0,1,1,1,5,3,8,4,5,4
"349","20",2,"F","1",0,5,1,2,3,1,8,4,2,1
"350","25",3,"F","0",1,2,3,4,9,4,1,5,2,2
"351","23",2,"F","0",1,2,2,1,9,1,1,2,2,2
"352","21",3,"F","1",1,1,1,1,7,1,7,4,1,1
"353","28",4,"M","0",1,2,2,1,5,4,7,8,2,6
"354","24",2,"F","0",0,2,3,6,4,3,2,3,6,3
"355","26",2,"F","0",0,1,6,8,9,9,2,8,8,3
"356","20",2,"M","0",0,6,5,6,9,9,1,8,8,4
"357","20",2,"F","0",1,2,1,1,9,2,5,2,1,2
"358","26",2,"F","0",0,5,3,5,8,7,2,4,3,4
"359","27",2,"M","0",0,3,2,4,9,9,1,4,4,2
"360","24",4,"F","0",1,2,2,6,9,3,8,6,2,2
"361","20",2,"M","0",0,2,2,1,8,7,3,3,3,2
"362","23",3,"F","0",1,3,2,2,6,6,1,5,6,5
"363","26",4,"M","0",1,5,6,6,8,8,2,6,4,9
"364","23",2,"F","0",1,2,4,4,9,6,1,1,1,1
"365","22",3,"F","0",0,2,1,4,8,6,3,6,3,2
"366","23",2,"F","0",1,2,1,1,4,3,2,2,1,2
"367","26",2,"M","0",1,2,2,3,9,6,1,3,6,2
"368","32",2,"M","0",1,2,1,1,3,1,8,7,1,2
"369","20",2,"M","1",1,2,2,1,6,3,4,3,3,4
"370","19",2,"M","1",0,3,2,2,7,8,3,6,4,2
"371","26",3,"M","0",1,2,3,2,5,2,5,7,2,2
"372","25",4,"M","0",0,3,2,2,4,4,8,7,7,5
"373","21",2,"M","1",0,3,1,1,1,1,8,2,2,2
"374","23",3,"F","0",1,4,1,3,7,7,4,3,3,2
"375","29",1,"F","1",0,2,2,5,8,8,1,3,1,1
"376","19",2,"F","0",0,1,2,3,6,2,5,3,6,2
"377","24",2,"M","1",0,1,1,1,6,9,3,8,7,8
"378","24",3,"M","0",0,2,2,2,9,8,1,8,6,7
"379","23",2,"F","0",0,4,3,3,9,5,1,7,5,5
"380","19",2,"F","1",1,3,1,2,3,3,9,4,2,2
"381","23",2,"F","0",1,2,1,1,2,1,9,2,1,1
"382","26",3,"M","0",1,3,2,3,7,8,2,7,2,3
"383","24",2,"M","0",1,2,2,1,1,3,7,8,2,1
"384","24",2,"F","0",1,3,2,3,9,7,1,3,3,2
"385","29",2,"M","0",0,1,1,1,1,1,3,4,1,2
"386","26",3,"F","0",1,2,2,1,6,4,6,1,1,1
"387","25",4,"F","0",0,1,3,4,5,3,1,7,2,3
"388","25",2,"M","0",0,2,6,4,7,7,3,7,7,5
"389","26",2,"M","0",0,3,2,2,6,8,2,9,9,9
"390","24",3,"F","0",1,1,2,1,2,1,9,1,1,1
"391","31",2,"M","0",1,1,1,1,9,9,1,9,9,9
"392","23",3,"F","0",0,5,2,3,5,3,4,7,2,2
"393","23",3,"M","0",1,2,2,3,8,7,3,2,2,2
"394","45",4,"M","0",1,2,2,2,7,7,5,8,2,2
"395","16",1,"F","1",0,3,2,2,9,6,2,7,7,2
"396","22",2,"F","0",1,2,2,2,8,2,5,2,2,2
"397","23",3,"F","0",1,2,1,1,1,1,9,4,3,2
"398","25",2,"M","0",0,3,5,6,8,8,2,7,5,6
"399","21",3,NA,"1",0,3,2,2,9,5,4,7,7,8
"400","24",3,"F","0",1,2,3,3,5,3,3,3,2,1
"401","18",2,"F","0",1,5,2,2,7,9,1,2,2,2
"402","24",4,"F","0",1,2,1,1,4,4,7,3,2,2
"403","28",4,"F","0",0,3,1,3,9,9,1,3,2,2
"404","22",2,"M","0",0,2,2,2,6,7,4,2,2,7
"405","24",3,"F","0",0,1,1,1,5,2,7,6,4,5
"406","24",3,"F","0",1,2,2,2,9,5,1,2,2,2
"407","24",3,"F","0",1,2,2,5,9,4,1,4,2,2
"408","23",3,"F","0",1,4,2,3,9,9,1,2,2,3
"409","26",3,"F","0",1,2,4,5,7,5,2,4,3,3
"410","23",3,"F","0",0,3,2,3,5,1,2,9,7,5
"411","24",3,"F","0",1,2,1,1,5,3,5,5,2,1
"412","25",3,"F","1",0,4,2,3,9,7,1,6,6,6
"413","22",3,"F","0",0,1,1,1,5,3,3,4,4,2
"414","22",3,"F","0",0,4,2,6,9,9,1,3,7,6
"415","23",3,"F","0",1,2,1,1,9,5,2,3,2,2
"416","34",2,"F","0",1,1,1,1,5,1,8,4,1,2
"417","26",3,"F","0",1,2,1,1,9,8,1,5,4,4
"418","29",2,"F","0",1,2,2,5,9,7,2,4,6,2
"419","35",4,"M","0",1,6,1,2,9,4,3,7,7,7
"420","23",3,"F","0",0,4,6,6,9,7,1,3,5,4
"421","31",3,"F","1",0,2,2,5,9,6,5,3,2,2
"422","39",3,"M","1",0,3,1,1,5,6,4,8,4,5
